ID,Year,Month,Day,Lunar_Year,Lunar_Month,Lunar_Day,Holiday,Totall_Holiday,Temperature_Up,Temperature_Down,Weather,visitor_count
124,2011,5,15,2011,4,13,2,2,22,10,4.2,9796
125,2011,5,16,2011,4,14,0,0,24,10,2.1,9418
126,2011,5,17,2011,4,15,0,0,29,12,1,9968
127,2011,5,18,2011,4,16,0,0,32,14,1.2,10221
128,2011,5,19,2011,4,17,0,0,32,17,2.4,9959
129,2011,5,20,2011,4,18,0,0,28,13,5.6,10638
130,2011,5,21,2011,4,19,1,2,19,11,6,11639
131,2011,5,22,2011,4,20,2,2,25,9,2.4,9325
132,2011,5,23,2011,4,21,0,0,16,13,5,10225
133,2011,5,24,2011,4,22,0,0,17,10,5.4,9982
134,2011,5,25,2011,4,23,0,0,25,12,2,10383
135,2011,5,26,2011,4,24,0,0,30,15,1,10477
136,2011,5,27,2011,4,25,0,0,30,13,2,13033
137,2011,5,28,2011,4,26,1,2,26,17,5.6,12254
138,2011,5,29,2011,4,27,2,2,22,16,6,10762
139,2011,5,30,2011,4,28,0,0,21,13,6,8572
140,2011,5,31,2011,4,29,0,0,20,10,4.2,5726
141,2011,6,1,2011,4,30,0,0,27,12,4.2,9869
142,2011,6,2,2011,5,1,0,0,25,12,2.4,8633
143,2011,6,3,2011,5,2,0,0,26,17,4.6,9149
144,2011,6,4,2011,5,3,1,3,20,12,5.6,12859
145,2011,6,5,2011,5,4,2,3,21,13,4.2,17270
146,2011,6,6,2011,5,5,3,3,24,13,2,9270
147,2011,6,7,2011,5,6,0,0,30,15,2,7404
148,2011,6,8,2011,5,7,0,0,30,15,5.6,8416
149,2011,6,9,2011,5,8,0,0,27,15,2,9422
150,2011,6,10,2011,5,9,0,0,25,15,4,11019
151,2011,6,11,2011,5,10,1,2,25,17,4.5,13098
152,2011,6,12,2011,5,11,2,2,25,14,4.5,12693
153,2011,6,13,2011,5,12,0,0,27,15,6.6,11352
154,2011,6,14,2011,5,13,0,0,26,16,2.1,10944
155,2011,6,15,2011,5,14,0,0,29,16,1.2,12205
156,2011,6,16,2011,5,15,0,0,26,19,5.6,12854
157,2011,6,17,2011,5,16,0,0,23,19,2,13126
158,2011,6,18,2011,5,17,1,2,28,17,2,13933
159,2011,6,19,2011,5,18,2,2,24,18,4.5,12517
160,2011,6,20,2011,5,19,0,0,23,19,5,10489
161,2011,6,21,2011,5,20,0,0,22,17,6,10198
162,2011,6,22,2011,5,21,0,0,24,17,4.2,10997
163,2011,6,23,2011,5,22,0,0,28,14,2,10780
164,2011,6,24,2011,5,23,0,0,33,19,2,11032
165,2011,6,25,2011,5,24,1,2,28,16,5.6,10964
166,2011,6,26,2011,5,25,2,2,25,19,5.2,10350
167,2011,6,27,2011,5,26,0,0,28,17,1,9124
168,2011,6,28,2011,5,27,0,0,32,17,1.2,9412
169,2011,6,29,2011,5,28,0,0,28,18,4.2,9959
170,2011,6,30,2011,5,29,0,0,25,19,4,10579
171,2011,7,1,2011,6,1,0,0,25,19,4.5,11091
172,2011,7,2,2011,6,2,1,2,22,21,6,11283
173,2011,7,3,2011,6,3,2,2,29,19,6,12513
174,2011,7,4,2011,6,4,0,0,25,18,5.6,11209
175,2011,7,5,2011,6,5,0,0,24,18,5,8247
176,2011,7,6,2011,6,6,0,0,21,18,6.5,8190
177,2011,7,7,2011,6,7,0,0,29,16,2.4,9487
178,2011,7,8,2011,6,8,0,0,30,19,2.4,10664
179,2011,7,9,2011,6,9,1,2,28,19,6,10623
180,2011,7,10,2011,6,10,2,2,25,16,5.6,11962
181,2011,7,11,2011,6,11,0,0,21,17,5,10945
182,2011,7,12,2011,6,12,0,0,24,16,6.5,11237
183,2011,7,13,2011,6,13,0,0,28,17,4.2,11238
184,2011,7,14,2011,6,14,0,0,28,20,2,11965
185,2011,7,15,2011,6,15,0,0,31,17,2,13285
186,2011,7,16,2011,6,16,1,2,31,18,4.2,14026
187,2011,7,17,2011,6,17,2,2,32,21,2,13740
188,2011,7,18,2011,6,18,0,0,31,16,2,13334
189,2011,7,19,2011,6,19,0,0,31,18,2,13677
190,2011,7,20,2011,6,20,0,0,30,21,4.6,14458
191,2011,7,21,2011,6,21,0,0,32,19,4.2,13240
192,2011,7,22,2011,6,22,0,0,31,20,2,14461
193,2011,7,23,2011,6,23,1,2,30,19,2,15991
194,2011,7,24,2011,6,24,2,2,29,20,4.2,14988
195,2011,7,25,2011,6,25,0,0,30,20,2,14081
196,2011,7,26,2011,6,26,0,0,30,19,4.2,15197
197,2011,7,27,2011,6,27,0,0,32,18,2.5,15873
198,2011,7,28,2011,6,28,0,0,27,19,6.6,14721
199,2011,7,29,2011,6,29,0,0,23,19,6.4,15603
200,2011,7,30,2011,6,30,1,2,24,16,4.5,15021
201,2011,7,31,2011,7,1,2,2,23,17,5.4,14681
202,2011,8,1,2011,7,2,0,0,28,16,2,14507
203,2011,8,2,2011,7,3,0,0,28,14,2.6,14865
204,2011,8,3,2011,7,4,0,0,25,16,6,17188
205,2011,8,4,2011,7,5,0,0,24,16,5.2,16423
206,2011,8,5,2011,7,6,0,0,27,14,2,17691
207,2011,8,6,2011,7,7,1,2,32,16,1.2,18702
208,2011,8,7,2011,7,8,2,2,32,19,1,19687
209,2011,8,8,2011,7,9,0,0,32,14,1,16346
210,2011,8,9,2011,7,10,0,0,33,17,1,17543
211,2011,8,10,2011,7,11,0,0,33,17,1,18728
